horizon,distance_ticks,n_observations,p_fill_bid,p_fill_ask,p_fill_mean
3,70,5997,0.21694180423545106,0.1807570451892613,0.19884942471235617
3,93,5997,0.2092713023178256,0.1777555444388861,0.19351342337835586
3,123,5997,0.2031015507753877,0.17342004335501085,0.18826079706519927
3,164,5997,0.18942804735701185,0.1629147907286977,0.17617141904285477
3,217,5997,0.1727530431882608,0.15224278806069702,0.1624979156244789
3,289,5997,0.15641153910288477,0.14140403535100884,0.1489077872269468
3,383,5997,0.1439052859763215,0.12706353176588295,0.13548440887110222
3,509,5997,0.12156078039019509,0.10638652659663166,0.11397365349341337
3,675,5997,0.09054527263631816,0.08687677171919293,0.08871102217775555
3,896,5997,0.06503251625812906,0.06803401700850426,0.06653326663331666
3,1190,5997,0.04418876104719026,0.04752376188094047,0.045856261464065365
3,1580,5997,0.023178255794563948,0.029848257462064366,0.026513256628314157
3,2097,5997,0.010505252626313157,0.01617475404368851,0.013340003335000834
3,2784,5997,0.005169251292312823,0.006836751709187927,0.006003001500750375
3,3695,5997,0.002334500583625146,0.0030015007503751876,0.0026680006670001667
5,1,5995,0.3247706422018349,0.265721434528774,0.29524603836530444
5,2,5995,0.3155963302752294,0.260884070058382,0.2882402001668057
5,3,5995,0.3139282735613011,0.260884070058382,0.2874061718098415
5,4,5995,0.31326105087572975,0.26071726438698917,0.28698915763135946
5,5,5995,0.3129274395329441,0.26071726438698917,0.28682235195996664
5,7,5995,0.31242702251876564,0.26055045871559634,0.286488740617181
5,10,5995,0.31242702251876564,0.259883236030025,0.28615512927439535
5,13,5995,0.3119266055045872,0.259883236030025,0.2859049207673061
5,17,5995,0.311092577147623,0.25871559633027524,0.2849040867389491
5,23,5995,0.3079232693911593,0.2573811509591326,0.28265221017514597
5,30,5995,0.3055879899916597,0.2565471226021685,0.2810675562969141
5,40,5995,0.3019182652210175,0.2563803169307756,0.2791492910758966
5,53,5995,0.3002502085070892,0.25587989991659715,0.2780650542118432
5,70,5995,0.2974145120934112,0.2545454545454545,0.27597998331943285
5,93,5995,0.28807339449541286,0.2507089241034195,0.26939115929941615
5,123,5995,0.28240200166805673,0.2457047539616347,0.2640533778148457
5,164,5995,0.26855713094245204,0.23336113427856547,0.25095913261050873
5,217,5995,0.2508757297748123,0.2213511259382819,0.2361134278565471
5,289,5995,0.23369474562135112,0.20884070058381984,0.22126772310258547
5,383,5995,0.2170141784820684,0.19232693911592993,0.20467055879899915
5,509,5995,0.18932443703085905,0.16747289407839866,0.17839866555462885
5,675,5995,0.14895746455379483,0.13994995829858214,0.14445371142618849
5,896,5995,0.11776480400333611,0.11459549624687239,0.11618015012510424
5,1190,5995,0.08140116763969975,0.08240200166805671,0.08190158465387823
5,1580,5995,0.04537114261884904,0.05654712260216847,0.05095913261050876
5,2097,5995,0.02402001668056714,0.03202668890742285,0.028023352793994996
5,2784,5995,0.011175979983319434,0.01267723102585488,0.011926605504587157
5,3695,5995,0.004503753127606339,0.005504587155963303,0.0050041701417848205
10,1,5990,0.4497495826377296,0.3961602671118531,0.42295492487479136
10,2,5990,0.44173622704507515,0.3893155258764608,0.415525876460768
10,3,5990,0.4400667779632721,0.3893155258764608,0.41469115191986644
10,4,5990,0.4393989983305509,0.3893155258764608,0.4143572621035059
10,5,5990,0.4393989983305509,0.3893155258764608,0.4143572621035059
10,7,5990,0.43889816360601003,0.3893155258764608,0.4141068447412354
10,10,5990,0.43889816360601003,0.3891485809682805,0.41402337228714525
10,13,5990,0.4383973288814691,0.3891485809682805,0.41377295492487476
10,17,5990,0.4373956594323873,0.3876460767946578,0.4125208681135225
10,23,5990,0.4340567612687813,0.38597662771285474,0.410016694490818
10,30,5990,0.4317195325542571,0.384974958263773,0.408347245409015
10,40,5990,0.4275459098497496,0.38464106844741236,0.406093489148581
10,53,5990,0.42587646076794655,0.38464106844741236,0.40525876460767946
10,70,5990,0.4220367278797997,0.38280467445742905,0.4024207011686144
10,93,5990,0.41318864774624375,0.3764607679465776,0.39482470784641066
10,123,5990,0.4076794657762938,0.3707846410684474,0.3892320534223706
10,164,5990,0.3936560934891486,0.3572621035058431,0.3754590984974958
10,217,5990,0.3789649415692821,0.3442404006677796,0.36160267111853084
