timestamp,side,price,quantity,signed_quantity,fee,p_fill,distance_ticks,mid_price,inventory_before_bucket,inventory_after_bucket,cash_before_bucket,cash_after_bucket,is_terminal_unwind
2026-09-04 03:00:19.610473+00:00,buy,80840.77,0.001,0.001,0.016168154,0.024862006494352443,853.499999998894,80849.305,0.007,0.008,-566.9380190199998,-647.7949571739998,False
2026-09-04 03:01:06.631404+00:00,sell,80910.52,0.001,-0.001,0.016182104000000003,0.024862006494310484,853.5000000003492,80901.985,0.008,0.007,-647.7949571739998,-566.9006192779998,False
2026-09-04 03:01:08.633466+00:00,sell,80893.6,0.001,-0.001,0.016178720000000004,0.024890854024293745,852.4999999994179,80885.07500000001,0.007,0.006,-566.9006192779998,-486.0231979979998,False
2026-09-04 03:01:24.641692+00:00,sell,80922.07,0.001,-0.001,0.016184414,0.024862006494310484,853.5000000003492,80913.535,0.006,0.005,-486.0231979979998,-405.11731241199976,False
2026-09-04 03:02:15.672853+00:00,sell,80950.81,0.001,-0.001,0.016190162,0.024890854024293745,852.4999999994179,80942.285,0.005,0.004,-405.11731241199976,-324.18269257399976,False
2026-09-04 03:02:19.672376+00:00,buy,80927.93000000001,0.001,0.001,0.016185586000000002,0.024804411695169715,855.4999999993015,80936.485,0.004,0.005,-324.18269257399976,-405.12680815999977,False
2026-09-04 03:02:58.686573+00:00,sell,80943.65000000001,0.001,-0.001,0.016188730000000002,0.02486200649426853,853.5000000018044,80935.11499999999,0.005,0.004,-405.12680815999977,-324.1993468899998,False
2026-09-04 03:04:06.729220+00:00,sell,80904.0,0.001,-0.001,0.016180800000000002,0.024862006494310484,853.5000000003492,80895.465,0.004,0.003,-324.1993468899998,-243.3115276899998,False
2026-09-04 03:04:18.730648+00:00,buy,80886.92,0.001,0.001,0.016177384,0.02483319239753239,854.4999999998254,80895.465,0.003,0.004,-243.3115276899998,-324.2146250739998,False
2026-09-04 03:04:39.741948+00:00,buy,80886.92,0.001,0.001,0.016177384,0.02483319239753239,854.4999999998254,80895.465,0.004,0.005,-324.2146250739998,-405.1177224579998,False
2026-09-04 03:04:41.740130+00:00,sell,80904.0,0.001,-0.001,0.016180800000000002,0.024862006494310484,853.5000000003492,80895.465,0.005,0.004,-405.1177224579998,-324.2299032579998,False
2026-09-04 03:04:42.745204+00:00,buy,80886.92,0.001,0.001,0.016177384,0.02483319239753239,854.4999999998254,80895.465,0.004,0.005,-324.2299032579998,-405.13300064199984,False
2026-09-04 03:04:43.748292+00:00,buy,80886.92,0.001,0.001,0.016177384,0.02483319239753239,854.4999999998254,80895.465,0.005,0.006,-405.13300064199984,-486.0360980259999,False
2026-09-04 03:05:58.793261+00:00,buy,80912.49,0.001,0.001,0.016182498000000003,0.024862006494352443,853.499999998894,80921.025,0.006,0.007,-486.0360980259999,-566.9647705239998,False
2026-09-04 03:06:19.793159+00:00,buy,80961.29000000001,0.001,0.001,0.016192258000000005,0.024833192397574293,854.4999999983702,80969.83499999999,0.007,0.008,-566.9647705239998,-647.9422527819999,False
2026-09-04 03:06:20.797256+00:00,sell,80978.37,0.001,-0.001,0.016195674,0.024862006494310484,853.5000000003492,80969.83499999999,0.008,0.007,-647.9422527819999,-566.9800784559999,False
2026-09-04 03:07:01.811631+00:00,buy,80968.2,0.001,0.001,0.016193640000000002,0.02474695031888243,857.499999999709,80976.775,0.007,0.008,-566.9800784559999,-647.9644720959999,False
2026-09-04 03:07:22.830812+00:00,sell,80995.14,0.001,-0.001,0.016199028,0.0249486495389237,850.4999999990105,80986.63500000001,0.008,0.007,-647.9644720959999,-566.9855311239999,False
